股票简称,股票代码,上市日期,发行价,最新价,发行中签率,总发行数,首日涨幅
华宝新能,301327,2022-09-19 00:00:00,237.5,78.73,0.021374953,2454.1666,-1.75
万得凯,301309,2022-09-19 00:00:00,39,27.75,0.0185877008,2500,-1.63
浙江正特,001238,2022-09-19 00:00:00,16.05,22.85,0.0231125547,2750,-2.97
科捷智能,688455,2022-09-15 00:00:00,21.88,14.01,0.03643102,4521.2292,-0.78
唯万密封,301161,2022-09-14 00:00:00,18.66,22.37,0.0202148495,3000,-2.44
钜泉科技,688391,2022-09-13 00:00:00,115,63.6,0.03794781,1440,-2.2
联特科技,301205,2022-09-13 00:00:00,40.37,130.9,0.0144781157,1802,-5.34
华大智造,688114,2022-09-09 00:00:00,87.18,88.98,0.03920824,4131.9475,0.12
嘉华股份,603182,2022-09-09 00:00:00,10.55,15.49,0.03451746,4114,-1.46
信德新材,301349,2022-09-09 00:00:00,138.88,55.56,0.0203100483,1700,-3.71
通行宝,301339,2022-09-09 00:00:00,18.78,22.76,0.0259800971,6000,0.31
嘉曼服饰,301276,2022-09-09 00:00:00,40.66,26.82,0.0200300426,2700,-3.94
维峰电子,301328,2022-09-08 00:00:00,78.8,51.95,0.0194707488,1832,-1.25
荣信文化,301231,2022-09-08 00:00:00,25.49,31.97,0.0187939255,2110,-6.58
胜通能源,001331,2022-09-08 00:00:00,26.78,17.37,0.0243377773,3000,-0.52
豪鹏科技,001283,2022-09-05 00:00:00,52.19,48.93,0.0132646418,2000,-2.1
奥浦迈,688293,2022-09-02 00:00:00,80.2,49.28,0.03293174,2049.5082,0.88
新巨丰,301296,2022-09-02 00:00:00,18.19,15.95,0.0258027763,6300,-1.79
聚胶股份,301283,2022-09-02 00:00:00,52.69,36.28,0.01825378,2000,-0.6
微电生理-U,688351,2022-08-31 00:00:00,16.51,19.26,0.03804778,7060,1.53
五芳斋,603237,2022-08-31 00:00:00,34.32,29.43,0.02725288,2518.575,-1.44
汉仪股份,301270,2022-08-31 00:00:00,25.68,45.21,0.0159455826,2500,-1.46
建科股份,301115,2022-08-31 00:00:00,42.05,25.22,0.0218794256,4500,0.4
利仁科技,001259,2022-08-31 00:00:00,19.75,29.18,0.0121931211,1848.4443,-1.05
恒烁股份,688416,2022-08-29 00:00:00,65.11,69.08,0.03273508,2066,-1.88
天力锂能,301152,2022-08-29 00:00:00,57,48.34,0.0182143939,3050,2.52
振华风光,688439,2022-08-26 00:00:00,66.99,96.39,0.03295679,5000,-1.66
金禄电子,301282,2022-08-26 00:00:00,30.38,27.41,0.0198737689,3779,-0.11
丛麟科技,688370,2022-08-25 00:00:00,59.76,27.99,0.03273812,2660.6185,-2.24
宣泰医药,688247,2022-08-25 00:00:00,9.37,12.56,0.0336605,4534,-2.03
联合化学,301209,2022-08-25 00:00:00,14.95,25.45,0.0141654229,2000,-0.66
帝奥微,688381,2022-08-23 00:00:00,41.68,31.02,0.03562285,6305,-1.24
联影医疗,688271,2022-08-22 00:00:00,109.88,145.05,0.04173653,10000,-1.37
远翔新材,301300,2022-08-19 00:00:00,36.15,32.0,0.0166273691,1605,-1.23
易点天下,301171,2022-08-19 00:00:00,18.18,21.37,0.0256204736,7550.1745,2.0
农心科技,001231,2022-08-19 00:00:00,17.77,21.35,0.0218821593,2500,-0.93
汇成股份,688403,2022-08-18 00:00:00,8.88,11.35,0.04168269,16697.0656,-5.57
浩瀚深度,688292,2022-08-18 00:00:00,16.56,27.84,0.03147216,3928.6667,-2.49
鼎际得,603255,2022-08-18 00:00:00,21.88,43.15,0.0300579,3336.6667,-2.07
博纳影业,001330,2022-08-18 00:00:00,5.03,8.99,0.0899043178,27490.3797,-0.77
源飞宠物,001222,2022-08-18 00:00:00,13.71,15.7,0.0268681986,3410,-0.76
路维光电,688401,2022-08-17 00:00:00,25.08,31.96,0.02997492,3333.36,-2.89
熵基科技,301330,2022-08-17 00:00:00,43.32,31.4,0.0199764706,3712.3013,-1.84
海正生材,688203,2022-08-16 00:00:00,16.68,12.99,0.03500279,5066.9517,-1.22
